   1.3263 + 0.0000i   1.5708 - 1.1949i
   1.3283 + 0.0000i   1.5708 - 1.1908i
   1.3303 + 0.0000i   1.5708 - 1.1867i
   1.3323 + 0.0000i   1.5708 - 1.1827i
   1.3343 + 0.0000i   1.5708 - 1.1786i
   1.3363 + 0.0000i   1.5708 - 1.1746i
   1.3383 + 0.0000i   1.5708 - 1.1706i
   1.3403 + 0.0000i   1.5708 - 1.1667i
   1.3423 + 0.0000i   1.5708 - 1.1628i
   1.3443 + 0.0000i   1.5708 - 1.1589i
   1.3463 + 0.0000i   1.5708 - 1.1550i
   1.3483 + 0.0000i   1.5708 - 1.1511i
   1.3504 + 0.0000i   1.5708 - 1.1473i
   1.3524 + 0.0000i   1.5708 - 1.1435i
   1.3544 + 0.0000i   1.5708 - 1.1397i
   1.3564 + 0.0000i   1.5708 - 1.1359i
   1.3584 + 0.0000i   1.5708 - 1.1322i
   1.3604 + 0.0000i   1.5708 - 1.1285i
   1.3624 + 0.0000i   1.5708 - 1.1248i
   1.3644 + 0.0000i   1.5708 - 1.1211i
   1.3664 + 0.0000i   1.5708 - 1.1175i
   1.3684 + 0.0000i   1.5708 - 1.1138i
   1.3704 + 0.0000i   1.5708 - 1.1102i
   1.3724 + 0.0000i   1.5708 - 1.1066i
   1.3744 + 0.0000i   1.5708 - 1.1031i
   1.3764 + 0.0000i   1.5708 - 1.0995i
   1.3784 + 0.0000i   1.5708 - 1.0960i
   1.3804 + 0.0000i   1.5708 - 1.0925i
   1.3824 + 0.0000i   1.5708 - 1.0890i
   1.3844 + 0.0000i   1.5708 - 1.0856i
   1.3864 + 0.0000i   1.5708 - 1.0821i
   1.3884 + 0.0000i   1.5708 - 1.0787i
   1.3904 + 0.0000i   1.5708 - 1.0753i
   1.3924 + 0.0000i   1.5708 - 1.0719i
   1.3944 + 0.0000i   1.5708 - 1.0685i
   1.3964 + 0.0000i   1.5708 - 1.0652i
   1.3984 + 0.0000i   1.5708 - 1.0618i
   1.4004 + 0.0000i   1.5708 - 1.0585i
   1.4024 + 0.0000i   1.5708 - 1.0552i
   1.4044 + 0.0000i   1.5708 - 1.0519i
   1.4064 + 0.0000i   1.5708 - 1.0487i
   1.4084 + 0.0000i   1.5708 - 1.0454i
   1.4104 + 0.0000i   1.5708 - 1.0422i
   1.4124 + 0.0000i   1.5708 - 1.0390i
   1.4144 + 0.0000i   1.5708 - 1.0358i
   1.4164 + 0.0000i   1.5708 - 1.0326i
   1.4184 + 0.0000i   1.5708 - 1.0294i
   1.4204 + 0.0000i   1.5708 - 1.0263i
   1.4224 + 0.0000i   1.5708 - 1.0231i
   1.4244 + 0.0000i   1.5708 - 1.0200i
   1.4264 + 0.0000i   1.5708 - 1.0169i
   1.4284 + 0.0000i   1.5708 - 1.0138i
   1.4304 + 0.0000i   1.5708 - 1.0107i
   1.4324 + 0.0000i   1.5708 - 1.0076i
   1.4344 + 0.0000i   1.5708 - 1.0046i
   1.4364 + 0.0000i   1.5708 - 1.0016i
   1.4384 + 0.0000i   1.5708 - 0.9985i
   1.4404 + 0.0000i   1.5708 - 0.9955i
   1.4424 + 0.0000i   1.5708 - 0.9925i
   1.4444 + 0.0000i   1.5708 - 0.9896i
   1.4464 + 0.0000i   1.5708 - 0.9866i
   1.4484 + 0.0000i   1.5708 - 0.9836i
   1.4505 + 0.0000i   1.5708 - 0.9807i
   1.4525 + 0.0000i   1.5708 - 0.9778i
   1.4545 + 0.0000i   1.5708 - 0.9748i
   1.4565 + 0.0000i   1.5708 - 0.9719i
   1.4585 + 0.0000i   1.5708 - 0.9690i
   1.4605 + 0.0000i   1.5708 - 0.9662i
   1.4625 + 0.0000i   1.5708 - 0.9633i
   1.4645 + 0.0000i   1.5708 - 0.9604i
   1.4665 + 0.0000i   1.5708 - 0.9576i
   1.4685 + 0.0000i   1.5708 - 0.9548i
   1.4705 + 0.0000i   1.5708 - 0.9520i
   1.4725 + 0.0000i   1.5708 - 0.9491i
   1.4745 + 0.0000i   1.5708 - 0.9463i
   1.4765 + 0.0000i   1.5708 - 0.9436i
   1.4785 + 0.0000i   1.5708 - 0.9408i
   1.4805 + 0.0000i   1.5708 - 0.9380i
   1.4825 + 0.0000i   1.5708 - 0.9353i
   1.4845 + 0.0000i   1.5708 - 0.9325i
   1.4865 + 0.0000i   1.5708 - 0.9298i
   1.4885 + 0.0000i   1.5708 - 0.9271i
   1.4905 + 0.0000i   1.5708 - 0.9244i
   1.4925 + 0.0000i   1.5708 - 0.9217i
   1.4945 + 0.0000i   1.5708 - 0.9190i
   1.4965 + 0.0000i   1.5708 - 0.9163i
   1.4985 + 0.0000i   1.5708 - 0.9136i
   1.5005 + 0.0000i   1.5708 - 0.9110i
   1.5025 + 0.0000i   1.5708 - 0.9083i
   1.5045 + 0.0000i   1.5708 - 0.9057i
   1.5065 + 0.0000i   1.5708 - 0.9030i
   1.5085 + 0.0000i   1.5708 - 0.9004i
   1.5105 + 0.0000i   1.5708 - 0.8978i
   1.5125 + 0.0000i   1.5708 - 0.8952i
   1.5145 + 0.0000i   1.5708 - 0.8926i
   1.5165 + 0.0000i   1.5708 - 0.8900i
   1.5185 + 0.0000i   1.5708 - 0.8875i
   1.5205 + 0.0000i   1.5708 - 0.8849i
   1.5225 + 0.0000i   1.5708 - 0.8823i
   1.5245 + 0.0000i   1.5708 - 0.8798i
   1.5265 + 0.0000i   1.5708 - 0.8772i
   1.5285 + 0.0000i   1.5708 - 0.8747i
   1.5305 + 0.0000i   1.5708 - 0.8722i
   1.5325 + 0.0000i   1.5708 - 0.8697i
   1.5345 + 0.0000i   1.5708 - 0.8672i
   1.5365 + 0.0000i   1.5708 - 0.8647i
   1.5385 + 0.0000i   1.5708 - 0.8622i
   1.5405 + 0.0000i   1.5708 - 0.8597i
   1.5425 + 0.0000i   1.5708 - 0.8572i
   1.5445 + 0.0000i   1.5708 - 0.8547i
   1.5465 + 0.0000i   1.5708 - 0.8523i
   1.5485 + 0.0000i   1.5708 - 0.8498i
   1.5506 + 0.0000i   1.5708 - 0.8474i
   1.5526 + 0.0000i   1.5708 - 0.8449i
   1.5546 + 0.0000i   1.5708 - 0.8425i
   1.5566 + 0.0000i   1.5708 - 0.8401i
   1.5586 + 0.0000i   1.5708 - 0.8377i
   1.5606 + 0.0000i   1.5708 - 0.8352i
   1.5626 + 0.0000i   1.5708 - 0.8328i
   1.5646 + 0.0000i   1.5708 - 0.8304i
   1.5666 + 0.0000i   1.5708 - 0.8281i
   1.5686 + 0.0000i   1.5708 - 0.8257i
   1.5706 + 0.0000i   1.5708 - 0.8233i
   1.5726 + 0.0000i   1.5708 - 0.8209i
   1.5746 + 0.0000i   1.5708 - 0.8186i
   1.5766 + 0.0000i   1.5708 - 0.8162i
   1.5786 + 0.0000i   1.5708 - 0.8139i
   1.5806 + 0.0000i   1.5708 - 0.8115i
   1.5826 + 0.0000i   1.5708 - 0.8092i
   1.5846 + 0.0000i   1.5708 - 0.8068i
   1.5866 + 0.0000i   1.5708 - 0.8045i
   1.5886 + 0.0000i   1.5708 - 0.8022i
   1.5906 + 0.0000i   1.5708 - 0.7999i
   1.5926 + 0.0000i   1.5708 - 0.7976i
   1.5946 + 0.0000i   1.5708 - 0.7953i
   1.5966 + 0.0000i   1.5708 - 0.7930i
   1.5986 + 0.0000i   1.5708 - 0.7907i
   1.6006 + 0.0000i   1.5708 - 0.7884i
   1.6026 + 0.0000i   1.5708 - 0.7861i
   1.6046 + 0.0000i   1.5708 - 0.7838i
   1.6066 + 0.0000i   1.5708 - 0.7816i
   1.6086 + 0.0000i   1.5708 - 0.7793i
   1.6106 + 0.0000i   1.5708 - 0.7771i
   1.6126 + 0.0000i   1.5708 - 0.7748i
   1.6146 + 0.0000i   1.5708 - 0.7726i
   1.6166 + 0.0000i   1.5708 - 0.7703i
   1.6186 + 0.0000i   1.5708 - 0.7681i
   1.6206 + 0.0000i   1.5708 - 0.7658i
   1.6226 + 0.0000i   1.5708 - 0.7636i
   1.6246 + 0.0000i   1.5708 - 0.7614i
   1.6266 + 0.0000i   1.5708 - 0.7592i
   1.6286 + 0.0000i   1.5708 - 0.7570i
   1.6306 + 0.0000i   1.5708 - 0.7548i
   1.6326 + 0.0000i   1.5708 - 0.7526i
   1.6346 + 0.0000i   1.5708 - 0.7504i
   1.6366 + 0.0000i   1.5708 - 0.7482i
   1.6386 + 0.0000i   1.5708 - 0.7460i
   1.6406 + 0.0000i   1.5708 - 0.7438i
   1.6426 + 0.0000i   1.5708 - 0.7416i
   1.6446 + 0.0000i   1.5708 - 0.7394i
   1.6466 + 0.0000i   1.5708 - 0.7373i
   1.6486 + 0.0000i   1.5708 - 0.7351i
   1.6507 + 0.0000i   1.5708 - 0.7329i
   1.6527 + 0.0000i   1.5708 - 0.7308i
   1.6547 + 0.0000i   1.5708 - 0.7286i
   1.6567 + 0.0000i   1.5708 - 0.7265i
   1.6587 + 0.0000i   1.5708 - 0.7243i
   1.6607 + 0.0000i   1.5708 - 0.7222i
   1.6627 + 0.0000i   1.5708 - 0.7200i
   1.6647 + 0.0000i   1.5708 - 0.7179i
   1.6667 + 0.0000i   1.5708 - 0.7158i
   1.6687 + 0.0000i   1.5708 - 0.7136i
   1.6707 + 0.0000i   1.5708 - 0.7115i
   1.6727 + 0.0000i   1.5708 - 0.7094i
   1.6747 + 0.0000i   1.5708 - 0.7073i
   1.6767 + 0.0000i   1.5708 - 0.7052i
   1.6787 + 0.0000i   1.5708 - 0.7031i
   1.6807 + 0.0000i   1.5708 - 0.7009i
   1.6827 + 0.0000i   1.5708 - 0.6988i
   1.6847 + 0.0000i   1.5708 - 0.6967i
   1.6867 + 0.0000i   1.5708 - 0.6946i
   1.6887 + 0.0000i   1.5708 - 0.6926i
   1.6907 + 0.0000i   1.5708 - 0.6905i
   1.6927 + 0.0000i   1.5708 - 0.6884i
   1.6947 + 0.0000i   1.5708 - 0.6863i
   1.6967 + 0.0000i   1.5708 - 0.6842i
   1.6987 + 0.0000i   1.5708 - 0.6821i
   1.7007 + 0.0000i   1.5708 - 0.6801i
   1.7027 + 0.0000i   1.5708 - 0.6780i
   1.7047 + 0.0000i   1.5708 - 0.6759i
   1.7067 + 0.0000i   1.5708 - 0.6738i
   1.7087 + 0.0000i   1.5708 - 0.6718i
   1.7107 + 0.0000i   1.5708 - 0.6697i
   1.7127 + 0.0000i   1.5708 - 0.6677i
   1.7147 + 0.0000i   1.5708 - 0.6656i
   1.7167 + 0.0000i   1.5708 - 0.6635i
   1.7187 + 0.0000i   1.5708 - 0.6615i
   1.7207 + 0.0000i   1.5708 - 0.6594i
   1.7227 + 0.0000i   1.5708 - 0.6574i
   1.7247 + 0.0000i   1.5708 - 0.6554i
   1.7267 + 0.0000i   1.5708 - 0.6533i
   1.7287 + 0.0000i   1.5708 - 0.6513i
   1.7307 + 0.0000i   1.5708 - 0.6492i
   1.7327 + 0.0000i   1.5708 - 0.6472i
   1.7347 + 0.0000i   1.5708 - 0.6452i
   1.7367 + 0.0000i   1.5708 - 0.6431i
   1.7387 + 0.0000i   1.5708 - 0.6411i
   1.7407 + 0.0000i   1.5708 - 0.6391i
   1.7427 + 0.0000i   1.5708 - 0.6371i
   1.7447 + 0.0000i   1.5708 - 0.6350i
   1.7467 + 0.0000i   1.5708 - 0.6330i
   1.7487 + 0.0000i   1.5708 - 0.6310i
   1.7508 + 0.0000i   1.5708 - 0.6290i
   1.7528 + 0.0000i   1.5708 - 0.6270i
   1.7548 + 0.0000i   1.5708 - 0.6249i
   1.7568 + 0.0000i   1.5708 - 0.6229i
   1.7588 + 0.0000i   1.5708 - 0.6209i
   1.7608 + 0.0000i   1.5708 - 0.6189i
   1.7628 + 0.0000i   1.5708 - 0.6169i
   1.7648 + 0.0000i   1.5708 - 0.6149i
   1.7668 + 0.0000i   1.5708 - 0.6129i
   1.7688 + 0.0000i   1.5708 - 0.6109i
   1.7708 + 0.0000i   1.5708 - 0.6089i
   1.7728 + 0.0000i   1.5708 - 0.6069i
   1.7748 + 0.0000i   1.5708 - 0.6049i
   1.7768 + 0.0000i   1.5708 - 0.6029i
   1.7788 + 0.0000i   1.5708 - 0.6009i
   1.7808 + 0.0000i   1.5708 - 0.5989i
   1.7828 + 0.0000i   1.5708 - 0.5969i
   1.7848 + 0.0000i   1.5708 - 0.5949i
   1.7868 + 0.0000i   1.5708 - 0.5929i
   1.7888 + 0.0000i   1.5708 - 0.5909i
   1.7908 + 0.0000i   1.5708 - 0.5889i
   1.7928 + 0.0000i   1.5708 - 0.5869i
   1.7948 + 0.0000i   1.5708 - 0.5849i
   1.7968 + 0.0000i   1.5708 - 0.5830i
   1.7988 + 0.0000i   1.5708 - 0.5810i
   1.8008 + 0.0000i   1.5708 - 0.5790i
   1.8028 + 0.0000i   1.5708 - 0.5770i
   1.8048 + 0.0000i   1.5708 - 0.5750i
   1.8068 + 0.0000i   1.5708 - 0.5730i
   1.8088 + 0.0000i   1.5708 - 0.5710i
   1.8108 + 0.0000i   1.5708 - 0.5690i
   1.8128 + 0.0000i   1.5708 - 0.5671i
   1.8148 + 0.0000i   1.5708 - 0.5651i
   1.8168 + 0.0000i   1.5708 - 0.5631i
   1.8188 + 0.0000i   1.5708 - 0.5611i
   1.8208 + 0.0000i   1.5708 - 0.5591i
   1.8228 + 0.0000i   1.5708 - 0.5571i
   1.8248 + 0.0000i   1.5708 - 0.5552i
   1.8268 + 0.0000i   1.5708 - 0.5532i
   1.8288 + 0.0000i   1.5708 - 0.5512i
   1.8308 + 0.0000i   1.5708 - 0.5492i
   1.8328 + 0.0000i   1.5708 - 0.5472i
   1.8348 + 0.0000i   1.5708 - 0.5453i
   1.8368 + 0.0000i   1.5708 - 0.5433i
   1.8388 + 0.0000i   1.5708 - 0.5413i
   1.8408 + 0.0000i   1.5708 - 0.5393i
   1.8428 + 0.0000i   1.5708 - 0.5373i
   1.8448 + 0.0000i   1.5708 - 0.5353i
   1.8468 + 0.0000i   1.5708 - 0.5333i
   1.8488 + 0.0000i   1.5708 - 0.5314i
   1.8509 + 0.0000i   1.5708 - 0.5294i
   1.8529 + 0.0000i   1.5708 - 0.5274i
   1.8549 + 0.0000i   1.5708 - 0.5254i
   1.8569 + 0.0000i   1.5708 - 0.5234i
   1.8589 + 0.0000i   1.5708 - 0.5214i
   1.8609 + 0.0000i   1.5708 - 0.5194i
   1.8629 + 0.0000i   1.5708 - 0.5175i
   1.8649 + 0.0000i   1.5708 - 0.5155i
   1.8669 + 0.0000i   1.5708 - 0.5135i
   1.8689 + 0.0000i   1.5708 - 0.5115i
   1.8709 + 0.0000i   1.5708 - 0.5095i
   1.8729 + 0.0000i   1.5708 - 0.5075i
   1.8749 + 0.0000i   1.5708 - 0.5055i
   1.8769 + 0.0000i   1.5708 - 0.5035i
   1.8789 + 0.0000i   1.5708 - 0.5015i
   1.8809 + 0.0000i   1.5708 - 0.4995i
   1.8829 + 0.0000i   1.5708 - 0.4975i
   1.8849 + 0.0000i   1.5708 - 0.4955i
   1.8869 + 0.0000i   1.5708 - 0.4935i
   1.8889 + 0.0000i   1.5708 - 0.4915i
   1.8909 + 0.0000i   1.5708 - 0.4895i
   1.8929 + 0.0000i   1.5708 - 0.4875i
   1.8949 + 0.0000i   1.5708 - 0.4855i
   1.8969 + 0.0000i   1.5708 - 0.4834i
   1.8989 + 0.0000i   1.5708 - 0.4814i
   1.9009 + 0.0000i   1.5708 - 0.4794i
   1.9029 + 0.0000i   1.5708 - 0.4774i
   1.9049 + 0.0000i   1.5708 - 0.4754i
   1.9069 + 0.0000i   1.5708 - 0.4734i
   1.9089 + 0.0000i   1.5708 - 0.4713i
   1.9109 + 0.0000i   1.5708 - 0.4693i
   1.9129 + 0.0000i   1.5708 - 0.4673i
   1.9149 + 0.0000i   1.5708 - 0.4652i
   1.9169 + 0.0000i   1.5708 - 0.4632i
   1.9189 + 0.0000i   1.5708 - 0.4612i
   1.9209 + 0.0000i   1.5708 - 0.4591i
   1.9229 + 0.0000i   1.5708 - 0.4571i
   1.9249 + 0.0000i   1.5708 - 0.4550i
   1.9269 + 0.0000i   1.5708 - 0.4530i
   1.9289 + 0.0000i   1.5708 - 0.4509i
   1.9309 + 0.0000i   1.5708 - 0.4489i
   1.9329 + 0.0000i   1.5708 - 0.4468i
   1.9349 + 0.0000i   1.5708 - 0.4448i
   1.9369 + 0.0000i   1.5708 - 0.4427i
   1.9389 + 0.0000i   1.5708 - 0.4407i
   1.9409 + 0.0000i   1.5708 - 0.4386i
   1.9429 + 0.0000i   1.5708 - 0.4365i
   1.9449 + 0.0000i   1.5708 - 0.4344i
   1.9469 + 0.0000i   1.5708 - 0.4324i
   1.9489 + 0.0000i   1.5708 - 0.4303i
   1.9510 + 0.0000i   1.5708 - 0.4282i
   1.9530 + 0.0000i   1.5708 - 0.4261i
   1.9550 + 0.0000i   1.5708 - 0.4240i
   1.9570 + 0.0000i   1.5708 - 0.4219i
   1.9590 + 0.0000i   1.5708 - 0.4198i
   1.9610 + 0.0000i   1.5708 - 0.4177i
   1.9630 + 0.0000i   1.5708 - 0.4156i
   1.9650 + 0.0000i   1.5708 - 0.4135i
   1.9670 + 0.0000i   1.5708 - 0.4113i
   1.9690 + 0.0000i   1.5708 - 0.4092i
   1.9710 + 0.0000i   1.5708 - 0.4071i
   1.9730 + 0.0000i   1.5708 - 0.4049i
   1.9750 + 0.0000i   1.5708 - 0.4028i
   1.9770 + 0.0000i   1.5708 - 0.4006i
   1.9790 + 0.0000i   1.5708 - 0.3985i
   1.9810 + 0.0000i   1.5708 - 0.3963i
   1.9830 + 0.0000i   1.5708 - 0.3942i
   1.9850 + 0.0000i   1.5708 - 0.3920i
   1.9870 + 0.0000i   1.5708 - 0.3898i
   1.9890 + 0.0000i   1.5708 - 0.3877i
   1.9910 + 0.0000i   1.5708 - 0.3855i
   1.9930 + 0.0000i   1.5708 - 0.3833i
   1.9950 + 0.0000i   1.5708 - 0.3811i
