   1.16500 + 0.00000i  -1.57080 + 1.98165i
   1.16600 + 0.00000i  -1.57080 + 1.97342i
   1.16700 + 0.00000i  -1.57080 + 1.96522i
   1.16800 + 0.00000i  -1.57080 + 1.95704i
   1.16900 + 0.00000i  -1.57080 + 1.94890i
   1.17000 + 0.00000i  -1.57080 + 1.94078i
   1.17100 + 0.00000i  -1.57080 + 1.93269i
   1.17200 + 0.00000i  -1.57080 + 1.92463i
   1.17300 + 0.00000i  -1.57080 + 1.91659i
   1.17400 + 0.00000i  -1.57080 + 1.90857i
   1.17500 + 0.00000i  -1.57080 + 1.90058i
   1.17600 + 0.00000i  -1.57080 + 1.89262i
   1.17700 + 0.00000i  -1.57080 + 1.88468i
   1.17800 + 0.00000i  -1.57080 + 1.87676i
   1.17900 + 0.00000i  -1.57080 + 1.86887i
   1.18000 + 0.00000i  -1.57080 + 1.86100i
   1.18100 + 0.00000i  -1.57080 + 1.85315i
   1.18200 + 0.00000i  -1.57080 + 1.84532i
   1.18300 + 0.00000i  -1.57080 + 1.83752i
   1.18400 + 0.00000i  -1.57080 + 1.82973i
   1.18500 + 0.00000i  -1.57080 + 1.82197i
   1.18600 + 0.00000i  -1.57080 + 1.81422i
   1.18700 + 0.00000i  -1.57080 + 1.80650i
   1.18800 + 0.00000i  -1.57080 + 1.79880i
   1.18900 + 0.00000i  -1.57080 + 1.79111i
   1.19000 + 0.00000i  -1.57080 + 1.78345i
   1.19100 + 0.00000i  -1.57080 + 1.77580i
   1.19200 + 0.00000i  -1.57080 + 1.76817i
   1.19300 + 0.00000i  -1.57080 + 1.76056i
   1.19400 + 0.00000i  -1.57080 + 1.75296i
   1.19500 + 0.00000i  -1.57080 + 1.74538i
   1.19600 + 0.00000i  -1.57080 + 1.73782i
   1.19700 + 0.00000i  -1.57080 + 1.73028i
   1.19800 + 0.00000i  -1.57080 + 1.72275i
   1.19900 + 0.00000i  -1.57080 + 1.71523i
   1.20000 + 0.00000i  -1.57080 + 1.70774i
   1.20100 + 0.00000i  -1.57080 + 1.70025i
   1.20200 + 0.00000i  -1.57080 + 1.69278i
   1.20300 + 0.00000i  -1.57080 + 1.68533i
   1.20400 + 0.00000i  -1.57080 + 1.67789i
